"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PIK3R2",239.370979560832,3653.62233140452,5.92092922466267,5.03628009562835e-09,6.93376381883111e-05,10.1600970400968
"B3GALT2",-10.3748882175308,33.3148562686734,-5.8761024235475,6.52276131684292e-09,6.93376381883111e-05,9.92098398788124
"TMEM170B",-27.1040030537721,232.021336966708,-5.74712999505165,1.35994316609347e-08,6.93376381883111e-05,9.24216629037186
"CUX1",240.068922356469,4236.46444578033,5.74551980582348,1.37235414198174e-08,6.93376381883111e-05,9.23377742725788
"PPP3CB",-99.9432692136902,1665.09888689372,-5.71472312311851,1.63209295028884e-08,6.93376381883111e-05,9.07374036588685
"SIX2",346.357475634378,3745.9056235084,5.71285245660107,1.64932536128238e-08,6.93376381883111e-05,9.06404440213297
"ZDHHC17",-50.6685292311276,536.740313265111,-5.56662699108484,3.71447491372249e-08,0.000133848450319623,8.31505008519418
"PAN3",-98.9833509190303,1411.1027245207,-5.53957086113127,4.30801045443021e-08,0.000135831569628185,8.17839945020811
"PRAF2",77.838575961238,880.668333419692,5.51392966779748,4.95496461433903e-08,0.000138871141591209,8.04945496846134
"ECH1",196.377947072036,2790.82353718024,5.47900584584157,5.98980012280985e-08,0.000151086718297756,7.8747075959549
"SOX21",319.422921982337,2706.7643930716,5.45367078496546,6.86888591724168e-08,0.000153080543993518,7.74857357841255
"TMEM189",78.743289384216,1188.03748719734,5.4355016274699,7.57517000526981e-08,0.000153080543993518,7.65844482987299
"MYBL1",-4.74171903597188,23.8832984700608,-5.42793879701564,7.8894983821588e-08,0.000153080543993518,7.62101017379385
"CBX3",-222.875153736198,3046.61923315539,-5.40309828876166,9.01355111584087e-08,0.000162398438104264,7.49838954179908
"PATL2",-49.3430162700814,304.506896882244,-5.35057597193111,1.19248666172509e-07,0.00017890747046823,7.24081835625274
"MATN1-AS1",-4.89909785166626,41.2123159499603,-5.34682163342897,1.21647565983641e-07,0.00017890747046823,7.22249524104344
"TEX2",77.9750593743497,1889.52535655053,5.34523559837848,1.22674991018518e-07,0.00017890747046823,7.21475811159357
"SEPT9",765.25295570562,16088.1338974541,5.33770461696049,1.27669460372191e-07,0.00017890747046823,7.17804856805909
"DCUN1D4",-58.6256633453218,735.921369171478,-5.30843093218466,1.49023392240527e-07,0.000191818333624662,7.03580586145255
"MIR1295B",-1.35018852103645,3.519610400459,-5.30456270818452,1.52091923267255e-07,0.000191818333624662,7.01706361215135
"LPAL2",-1.96425130848663,8.05770420624282,-5.29131867366438,1.63068680715518e-07,0.000195868781065154,6.95298885426941
"CREBZF",-105.209374589202,1282.99785577463,-5.26092776102749,1.91236806382086e-07,0.00021926169109917,6.80651363674823
"ZBED5",-90.436650938467,1249.70253775432,-5.24421863263744,2.08675890419449e-07,0.000228795942487951,6.72631103265794
"SIPA1L3",276.230538375577,3802.47389910044,5.23610194848509,2.17693570397669e-07,0.000228795942487951,6.68743622149071
"LOC115110",-49.4871506240161,378.068757619848,-5.22071869050563,2.35830845367191e-07,0.000236750620507471,6.61391022060142
"IL18",-83.609224665048,830.88552932001,-5.21413390187134,2.44034099793619e-07,0.000236750620507471,6.58249834750972
"KRTCAP2",95.69643806557,1542.50217779321,5.19476678025184,2.69794624019887e-07,0.000252048133195467,6.49032162663289
"MIR3064",-13.1549684854283,47.667527098115,-5.18723412123173,2.80508892893891e-07,0.000252698439798411,6.45455571228002
"NFYC-AS1",-5.73092042417819,36.2693700267923,-5.10648588256444,4.24544484209489e-07,0.00036894519901645,6.07416169134231
"HES1",412.720419828285,3785.32875815564,5.09625455910457,4.47253241291549e-07,0.00036894519901645,6.02635665874612
"ATP1A1",5166.87027270398,56093.2010718053,5.08405905330968,4.7585774125272e-07,0.00036894519901645,5.96948990270993
"SCARNA17",-2.3770348517943,9.69026919633956,-5.07427327258445,5.00081350608245e-07,0.00036894519901645,5.92395060567528
"FAM111A",-98.7674121375715,1327.95433753106,-5.06815823350269,5.15818951314681e-07,0.00036894519901645,5.89553473415489
"RPS10",26.8858842446411,249.425789452208,5.05352466119165,5.55447225051598e-07,0.00036894519901645,5.82766292141361
"YIPF3",241.407573937794,4249.24835081708,5.05313347264007,5.56545945263694e-07,0.00036894519901645,5.82585104592398
"ANAPC4",-48.7089655257697,660.204399628133,-5.05263370228611,5.5795269151093e-07,0.00036894519901645,5.8235364388524
"EYA2",326.536036216879,5190.82933343651,5.04892779935826,5.68491733134394e-07,0.00036894519901645,5.80637974755659
"TMEM109",150.531027704616,2609.38739723015,5.04442758908551,5.81548407977243e-07,0.00036894519901645,5.78556142830646
"METTL18",-16.1443274822654,243.417057204613,-5.04107844229719,5.91452993323836e-07,0.00036894519901645,5.77007916977594
"HUS1",-18.9218957628179,418.192315242816,-5.03915127669947,5.97225945956043e-07,0.00036894519901645,5.7611746849788
"NEURL3",-136.975550181198,674.283528870689,-5.03833191928567,5.99696842676596e-07,0.00036894519901645,5.75738979208877
"UCK2",51.6156582917289,796.033740982679,5.03270370215273,6.16938460817618e-07,0.000370515612753895,5.73140652720768
"UBE2D3",-495.473385926147,8460.54460346461,-5.02769159664373,6.32694951739092e-07,0.000371141801457369,5.70829024393601
"FAM57A",95.5086314308666,956.654190483944,5.01502239785125,6.74275355929651e-07,0.000385715437986628,5.64995387058817
"ZMYM5",-23.2212212735696,346.480519832791,-5.00921375983149,6.94210254998741e-07,0.000385715437986628,5.62325310642909
"PPP2R5D",69.6080342254793,1591.47565660285,5.00658617200336,7.03413818085351e-07,0.000385715437986628,5.61118420260253
"STIM1",195.919779765087,4531.35069244164,4.98804219987519,7.71799916369306e-07,0.00041031829646645,5.52617584904308
"IL26",-4.70361557760858,11.2207808991611,-4.98571692597767,7.8081502657745e-07,0.00041031829646645,5.51553707865432
"PSMB8-AS1",-77.8007603131347,832.078723396489,-4.97950747112124,8.05390122312902e-07,0.000414595111126952,5.487149651465
"DNAH14",-11.2513570774656,104.624251495146,-4.94050799286176,9.77689973190902e-07,0.000493225037675346,5.30960840777616
"LINS",-27.7288746468712,328.39059595407,-4.93647190220255,9.97428847607585e-07,0.000493316573569681,5.29130850213879
"RAB40C",90.4060832228217,1822.91079427772,4.930305531285,1.02833030757483e-06,0.000498819301505145,5.2633765836374
"RAB3A",7.96018568426044,68.9742156129456,4.92134190614978,1.07490175748927e-06,0.000511572111903951,5.22283172730885
"ZGRF1",-14.9390874445248,114.895180787262,-4.9173634663276,1.09621794934067e-06,0.000512055584336466,5.20485815102119
"FBXL7",91.7887226990063,800.063830138439,4.91240847218378,1.12333696030983e-06,0.000515182754306456,5.18249163819394
